date,id,opponentRanking,result,opponent
2016-06-07,8640389,680,1,ThoughtfulTrap
2016-06-07,8640367,644,1,ethanwood
2016-06-07,8640252,879,1,OddUkulele
2016-06-07,8639646,1313,-1,EagerNest
2016-06-07,8639467,685,-1,mehdihasanpoor
2016-06-07,8636792,1134,-1,NeedlessSmoke
2016-06-07,8636789,525,1,butterpond
2016-06-06,8631455,957,1,UBkhosmaster008
2016-06-06,8631289,1230,-1,oliverselya
2016-06-05,8625429,758,1,AbstractGoose
2016-06-05,8625424,979,0,Hippie
2016-06-05,8624995,1144,-1,qpile
2016-06-04,8620437,816,1,GoldenInk
2016-06-04,8620384,615,1,dragonliah
2016-06-04,8620259,937,-1,ElderlyMamba
2016-06-02,8605890,1089,-1,wsauliusw
2016-06-02,8605633,1205,-1,GorgeousBathtub
2016-06-01,8602046,771,1,HeritageChristopher
2016-06-09,8653682,796,1,NinjaInventor
